iter	Passed	Remaining
403	7698	11357
404	7714	11334
405	7733	11314
406	7752	11294
407	7769	11273
408	7787	11252
409	7802	11227
410	7818	11204
411	7837	11185
412	7854	11162
413	7871	11141
414	7890	11122
415	7905	11097
416	7922	11076
417	7939	11054
418	7956	11032
419	7972	11009
420	7989	10987
421	8007	10967
422	8027	10950
423	8043	10927
424	8059	10903
425	8076	10881
426	8092	10859
427	8108	10836
428	8125	10814
429	8143	10794
430	8163	10777
431	8182	10758
432	8199	10736
433	8215	10713
434	8231	10691
435	8247	10668
436	8263	10645
437	8279	10622
438	8303	10611
439	8322	10591
440	8344	10577
441	8368	10564
442	8387	10545
443	8409	10530
444	8432	10516
445	8452	10499
446	8470	10479
447	8490	10461
448	8508	10440
449	8524	10419
450	8541	10397
451	8558	10375
452	8575	10355
453	8591	10332
454	8608	10311
455	8626	10291
456	8643	10269
457	8660	10249
458	8676	10227
459	8695	10207
460	8713	10187
461	8728	10163
462	8745	10143
463	8761	10121
464	8777	10098
465	8795	10078
466	8811	10057
467	8827	10034
468	8843	10012
469	8862	9993
470	8876	9969
471	8893	9948
472	8909	9926
473	8928	9907
474	8945	9886
475	8965	9869
476	8983	9849
477	9001	9830
478	9019	9810
479	9037	9791
480	9058	9773
481	9075	9753
482	9094	9735
483	9111	9713
484	9129	9694
485	9147	9674
486	9169	9659
487	9191	9644
488	9214	9629
489	9230	9607
490	9245	9584
491	9260	9561
492	9278	9541
493	9292	9518
494	9314	9502
495	9334	9484
496	9348	9461
497	9367	9442
498	9384	9421
499	9399	9399
500	9417	9380
501	9436	9361
502	9457	9344
503	9473	9323
504	9493	9305
505	9508	9283
506	9522	9259
507	9538	9237
508	9558	9220
509	9573	9198
510	9589	9176
511	9606	9156
512	9624	9136
513	9639	9113
514	9655	9093
515	9671	9072
516	9689	9052
517	9707	9032
518	9729	9016
519	9751	9001
520	9770	8983
521	9786	8961
522	9804	8941
523	9821	8921
524	9840	8903
525	9857	8882
526	9873	8861
527	9891	8842
528	9910	8823
529	9923	8800
530	9941	8780
531	9960	8762
532	9978	8742
533	9995	8722
534	10012	8702
535	10028	8681
536	10043	8659
537	10061	8640
538	10077	8619
539	10097	8601
540	10115	8582
541	10132	8562
542	10151	8543
543	10171	8526
544	10193	8509
545	10209	8488
546	10226	8469
547	10244	8449
548	10260	8428
549	10276	8408
550	10291	8386
551	10309	8367
552	10330	8350
553	10350	8332
554	10366	8311
555	10384	8292
556	10400	8271
557	10415	8250
558	10432	8230
559	10448	8209
560	10465	8189
561	10481	8168
562	10500	8150
563	10521	8133
564	10535	8111
565	10552	8091
566	10569	8071
567	10588	8053
568	10607	8035
569	10624	8014
570	10642	7995
571	10660	7976
572	10675	7955
573	10693	7935
574	10712	7917
575	10730	7898
576	10748	7879
577	10767	7861
578	10784	7841
579	10806	7825
580	10823	7805
581	10841	7786
582	10856	7765
583	10871	7744
584	10888	7724
585	10904	7703
586	10921	7684
587	10942	7667
588	10960	7648
589	10978	7629
590	10996	7609
591	11013	7590
592	11030	7570
593	11048	7551
594	11064	7531
595	11081	7511
596	11097	7491
597	11116	7472
598	11132	7452
599	11149	7432
600	11166	7413
601	11184	7394
602	11201	7374
603	11219	7356
604	11235	7335
605	11253	7316
606	11276	7300
607	11292	7280
608	11310	7261
609	11326	7241
610	11343	7222
611	11363	7204
612	11380	7184
613	11395	7164
614	11410	7142
615	11425	7122
616	11442	7102
617	11457	7082
618	11475	7063
619	11491	7043
620	11511	7025
621	11528	7005
622	11543	6985
623	11566	6969
624	11590	6954
625	11617	6940
626	11637	6923
627	11655	6904
628	11674	6885
629	11692	6866
630	11712	6849
631	11729	6830
632	11747	6810
633	11764	6791
634	11785	6774
635	11802	6754
636	11823	6737
637	11844	6720
638	11864	6702
639	11881	6683
640	11897	6663
641	11913	6643
642	11931	6624
643	11946	6604
644	11960	6583
645	11979	6564
646	11995	6544
647	12011	6524
648	12027	6505
649	12045	6486
650	12063	6467
651	12077	6446
652	12095	6427
653	12111	6407
654	12131	6389
655	12155	6374
656	12173	6355
657	12191	6336
658	12211	6318
659	12229	6299
660	12246	6280
661	12258	6259
662	12279	6241
663	12292	6220
664	12306	6199
665	12321	6179
666	12340	6161
667	12362	6144
668	12387	6129
669	12409	6112
670	12425	6092
671	12445	6074
672	12462	6055
673	12480	6036
674	12498	6017
675	12514	5997
676	12530	5978
677	12546	5958
678	12563	5939
679	12581	5920
680	12599	5902
681	12614	5881
682	12632	5863
683	12649	5843
684	12666	5824
685	12683	5805
686	12702	5787
687	12720	5768
688	12736	5749
689	12757	5731
690	12771	5710
691	12784	5690
692	12803	5671
693	12818	5652
694	12835	5632
695	12853	5614
696	12871	5595
697	12887	5575
698	12906	5557
699	12926	5539
700	12943	5520
701	12960	5501
702	12977	5482
703	12992	5462
704	13009	5443
705	13029	5425
706	13050	5408
707	13066	5388
708	13084	5370
709	13103	5352
710	13123	5334
711	13138	5314
712	13152	5294
713	13169	5275
714	13186	5256
715	13203	5236
716	13221	5218
717	13238	5199
718	13255	5180
719	13271	5161
720	13291	5143
721	13311	5125
722	13329	5106
723	13349	5088
724	13368	5070
725	13385	5051
726	13403	5033
727	13419	5013
728	13438	4995
729	13456	4977
730	13474	4958
731	13490	4939
732	13510	4921
733	13529	4902
734	13546	4884
735	13566	4866
736	13586	4848
737	13606	4830
738	13623	4811
739	13641	4793
740	13659	4774
741	13678	4756
742	13695	4737
743	13712	4718
744	13729	4699
745	13749	4681
746	13767	4662
747	13783	4643
748	13800	4624
749	13818	4606
750	13837	4587
751	13856	4569
752	13876	4551
753	13895	4533
754	13914	4515
755	13928	4495
756	13947	4477
757	13961	4457
758	13979	4438
759	13995	4419
760	14011	4400
761	14028	4381
762	14044	4362
763	14061	4343
764	14077	4324
765	14094	4305
766	14109	4286
767	14128	4267
768	14144	4248
769	14161	4229
770	14177	4210
771	14190	4191
772	14209	4172
773	14222	4152
774	14239	4133
775	14256	4115
776	14272	4096
777	14291	4077
778	14311	4060
779	14330	4041
780	14347	4023
781	14365	4004
782	14382	3985
783	14401	3967
784	14418	3948
785	14437	3930
786	14453	3911
787	14470	3892
788	14485	3873
789	14504	3855
790	14519	3836
791	14535	3817
792	14552	3798
793	14568	3779
794	14587	3761
795	14606	3743
796	14620	3724
797	14637	3705
798	14657	3687
799	14680	3670
800	14696	3651
801	14714	3632
802	14733	3614
803	14752	3596
804	14768	3577
805	14786	3558
806	14804	3540
807	14821	3521
808	14834	3502
809	14854	3484
810	14872	3465
811	14890	3447
812	14908	3429
813	14925	3410
814	14945	3392
815	14963	3374
816	14981	3355
817	15000	3337
818	15016	3318
819	15033	3300
820	15050	3281
821	15067	3262
822	15084	3244
823	15102	3225
824	15119	3207
825	15138	3188
826	15156	3170
827	15177	3152
828	15200	3135
829	15217	3116
830	15237	3098
831	15251	3079
832	15271	3061
833	15284	3042
834	15300	3023
835	15321	3005
836	15338	2987
837	15353	2968
838	15370	2949
839	15384	2930
840	15403	2912
841	15420	2893
842	15437	2875
843	15455	2856
844	15473	2838
845	15491	2819
846	15512	2802
847	15530	2783
848	15549	2765
849	15566	2746
850	15583	2728
851	15600	2709
852	15616	2691
853	15629	2672
854	15647	2653
855	15664	2635
856	15681	2616
857	15700	2598
858	15717	2580
859	15732	2561
860	15747	2542
861	15765	2523
862	15778	2504
863	15795	2486
864	15814	2468
865	15832	2449
866	15849	2431
867	15869	2413
868	15885	2394
869	15903	2376
870	15921	2358
871	15937	2339
872	15952	2320
873	15971	2302
874	15988	2284
875	16005	2265
876	16023	2247
877	16039	2228
878	16054	2210
879	16072	2191
880	16093	2173
881	16116	2156
882	16136	2138
883	16156	2120
884	16171	2101
885	16189	2083
886	16209	2064
887	16226	2046
888	16246	2028
889	16265	2010
890	16283	1992
891	16303	1973
892	16323	1955
893	16342	1937
894	16359	1919
895	16377	1900
896	16395	1882
897	16414	1864
898	16433	1846
899	16452	1828
900	16465	1809
901	16482	1790
902	16500	1772
903	16520	1754
904	16539	1736
905	16558	1717
906	16576	1699
907	16593	1681
908	16625	1664
909	16654	1647
910	16677	1629
911	16693	1610
912	16711	1592
913	16731	1574
914	16750	1556
915	16766	1537
916	16785	1519
917	16802	1500
918	16817	1482
919	16832	1463
920	16851	1445
921	16868	1427
922	16885	1408
923	16900	1390
924	16917	1371
925	16939	1353
926	16956	1335
927	16976	1317
928	16993	1298
929	17008	1280
930	17026	1261
931	17045	1243
932	17064	1225
933	17082	1207
934	17099	1188
935	17118	1170
936	17132	1151
937	17149	1133
938	17167	1115
939	17181	1096
940	17197	1078
941	17219	1060
942	17236	1041
943	17259	1023
944	17285	1006
945	17309	988
946	17326	969
947	17342	951
948	17357	932
949	17376	914
950	17396	896
951	17413	877
952	17428	859
953	17446	841
954	17465	822
955	17484	804
956	17503	786
957	17521	768
958	17538	749
959	17557	731
960	17575	713
961	17593	694
962	17611	676
963	17628	658
964	17649	640
965	17663	621
966	17681	603
967	17698	585
968	17716	566
969	17735	548
970	17754	530
971	17771	511
972	17792	493
