iter	RMSE
817	541.0926632
818	541.0748325
819	541.0690756
820	540.980112
821	540.9467021
822	540.9134252
823	540.8777749
824	540.8060342
825	540.767344
826	540.7563845
827	540.71343
828	540.6275831
829	540.6273412
830	540.6102184
831	540.6099938
832	540.5559934
833	540.5555536
834	540.5315036
835	540.4963089
836	540.4334541
837	540.4226066
838	540.3883288
839	540.3878417
840	540.3247543
841	540.2766474
842	540.2295216
843	540.1707731
844	540.1439353
845	540.108233
846	540.0860964
847	540.0018646
848	539.9591553
849	539.9178592
850	539.8994176
851	539.8540528
852	539.8212733
853	539.8202981
854	539.7527201
855	539.7192877
856	539.6962751
857	539.6043134
858	539.550135
859	539.5105096
860	539.5088541
861	539.4574981
862	539.4571218
863	539.4189619
864	539.3840354
865	539.3468747
866	539.3341897
867	539.2994963
868	539.2664876
869	539.2266717
870	539.1995384
871	539.1711955
872	539.1447208
873	539.0765838
874	539.040542
875	539.0255309
876	538.9867102
877	538.963035
878	538.9584839
879	538.907849
880	538.8832511
881	538.8007017
882	538.7357593
883	538.7080879
884	538.6905952
885	538.6387703
886	538.611514
887	538.5813544
888	538.5248972
889	538.495346
890	538.4418051
891	538.4202751
892	538.3793962
893	538.3487467
894	538.3016755
895	538.2723939
896	538.2338304
897	538.1500854
898	538.1283305
899	538.0670761
900	538.0668136
901	538.0238818
902	537.9859057
903	537.9574008
904	537.9037969
905	537.8695694
906	537.8558764
907	537.8264037
908	537.7964718
909	537.7544828
910	537.6886857
911	537.6819528
912	537.6532386
913	537.6378995
914	537.572399
915	537.5388415
916	537.4770362
917	537.4413686
918	537.4399296
919	537.4378218
920	537.3825175
921	537.3383436
922	537.286816
923	537.2864936
924	537.2427577
925	537.1785163
926	537.1573848
927	537.1242774
928	537.0750397
929	537.0702132
930	537.0513366
931	537.02541
932	537.0124546
933	537.0094372
934	536.9724765
935	536.9370769
936	536.9357804
937	536.8526944
938	536.8186965
939	536.8184052
940	536.8071327
941	536.7770586
942	536.7503089
943	536.7242746
944	536.6798325
945	536.6514367
946	536.6004901
947	536.5589556
948	536.5171983
949	536.5116643
950	536.4496887
951	536.4277971
952	536.4101582
953	536.3079033
954	536.2178599
955	536.1960128
956	536.1708774
957	536.1063781
958	536.068877
959	536.0301523
960	536.0238014
961	535.9967748
962	535.9379941
963	535.8907884
964	535.8326133
965	535.8324708
966	535.7943378
967	535.771478
968	535.7249423
969	535.6916515
970	535.6700206
971	535.6323972
972	535.578817
973	535.5336893
974	535.5141375
975	535.4406891
976	535.3913475
977	535.3233069
978	535.2977074
979	535.2785287
980	535.2782566
981	535.2401397
982	535.2026056
983	535.1689851
984	535.0946006
985	535.0621215
986	535.0002636
987	534.9811152
988	534.9755032
989	534.9131612
990	534.8884468
991	534.8343972
992	534.7788427
993	534.7202233
994	534.6890164
995	534.6350418
996	534.5894142
997	534.5137679
998	534.4578766
999	534.4577514
